output,min scaler,max scaler,n hidden layers,neurons per layer,mse training,mse test,r2 training,r2 test,training time,prediction time
AR,,,,,,,,,,
CO,,,,,,,,,,
Cp,1008.83480821033,1928.81414958857,4,32-16-8-4,1.2442844585590882e-06,1.2385904426637034e-06,0.9999801012441555,0.9999802121717298,9683.374000310898,0.050986528396606445
Density,0.129818613918679,1.19588131406099,4,32-16-8-4,2.9014768671397673e-06,2.9251034710493513e-06,0.9999283501745688,0.9999276605531635,9300.986221313477,0.06727409362792969
H2O2,0.0,0.0001024237847431,4,16-16-16-16,4.3694499154976154e-05,4.78324134755579e-05,0.9953934772801447,0.9949521758343934,7955.2870144844055,0.114776611328125
H2O,0.0,0.205058012033542,4,32-16-8-4,2.849643502278291e-07,2.816886795214791e-07,0.9999884345198398,0.9999885636702434,7061.082162857056,0.1289200782775879
H2,0.0,0.0671322336983918,4,32-16-8-4,6.645362612782307e-07,6.668035694206424e-07,0.9999908854378807,0.9999908573518901,6678.862059354782,0.06250143051147461
HE,,,,,,,,,,
HO2,0.0,0.0003122918960523,4,16-16-16-16,5.6072266337208535e-05,5.473053702420806e-05,0.9970460653136255,0.9971234531885625,9562.33838391304,0.06249809265136719
H,0.0,0.0011645955056509,4,32-16-8-4,6.215887416052824e-06,6.086470094674192e-06,0.9995211485549539,0.999530988007036,6388.447705745697,0.1623554229736328
MeanMass,15.0146495121998,28.8503447520412,4,32-16-8-4,8.334179183831968e-07,8.273411218661461e-07,0.9999880527822055,0.9999881273347365,10058.701222896576,0.07195568084716797
N2,0.760745397337055,0.936820321812287,4,16-16-16-16,2.1599880381154664e-07,2.173248422988143e-07,0.9999974706334183,0.9999974519118092,8041.935344219208,0.05696415901184082
O2,0.0,0.232917511505158,4,32-16-8-4,7.526354530647267e-07,7.500146418629628e-07,0.9999913170818651,0.999991352819435,5698.822294712067,0.0529634952545166
OH,0.0,0.0081876088980304,4,16-16-16-16,3.5633957387153757e-06,3.3363136886195057e-06,0.9987243860210994,0.9988224077805794,9146.847226142883,0.07598567008972168
O,0.0,0.0051771993324115,4,16-16-16-16,6.06427282916222e-06,6.201554514936287e-06,0.9968386274526064,0.9967940833103159,9406.199884176254,0.051967620849609375
PVmax,,,,,,,,,,
PVmin,,,,,,,,,,
SourcePV,0.0,4301.95475465395,4,16-16-16-16,1.8712366138437625e-06,1.8138608505783456e-06,0.9996167037562815,0.9996283347578834,6011.434371948242,0.12302231788635254
Temperature,293.997001056113,2316.20602572955,4,14-14-14-14,1.8858056188424516e-06,1.906565204933625e-06,0.9999022307958363,0.9999024035701926,8647.161528348923,0.20792555809020996
